시도,시군구,생활용_개소수,생활용_이용량,공업용_개소수,공업용_이용량,농업용_개소수,농업용_이용량,기타용_개소수,기타용_이용량
서울특별시,구로구,173,292197,7,5115,35,59898,0,0
서울특별시,금천구,92,144333,6,29392,1,0,0,0
서울특별시,노원구,220,930980,0,0,21,19613,0,0
서울특별시,도봉구,289,336481,8,23941,42,31540,0,0
서울특별시,동대문구,374,589441,11,13996,2,1008,2,1460
서울특별시,동작구,118,816250,5,4517,4,4205,1,36
서울특별시,마포구,121,261345,9,21190,5,2612,1,730
서울특별시,서대문구,189,354025,11,13975,1,292,0,0
서울특별시,서초구,408,755124,18,50094,897,611401,20,319191
서울특별시,성동구,83,233058,12,41483,0,0,0,0
서울특별시,성북구,120,205414,7,32888,3,2194,0,0
서울특별시,송파구,306,868558,21,85483,83,114113,0,0
서울특별시,양천구,189,392928,12,21773,9,22131,0,0
서울특별시,영등포구,156,907957,8,14564,4,60385,1,47
서울특별시,용산구,109,204952,6,7845,1,4500,0,0
서울특별시,은평구,228,490079,8,0,30,25808,0,0
서울특별시,종로구,127,665327,2,11754,7,13382,4,13219
서울특별시,중구,120,397117,2,2556,0,0,0,0
서울특별시,중랑구,134,330425,8,4719,18,25932,6,20755
세종특별자치시,세종시,11787,8424638,166,3318665,11361,11301496,4,150000
울산광역시,남구,294,1543073,27,335878,32,117824,0,0
울산광역시,동구,176,1042474,0,0,24,26972,0,0
울산광역시,북구,383,1998181,20,240868,311,546965,0,0
울산광역시,울주군,2811,12047632,122,1416788,1676,3530062,5,3789
울산광역시,중구,164,1239029,0,0,63,247616,4,8716
인천광역시,강화군,4234,11840234,28,288315,7841,14704202,0,0
인천광역시,계양구,309,692833,17,129566,1027,2011404,2,9454
인천광역시,남동구,188,999415,10,70017,781,1335850,0,0
인천광역시,동구,25,162172,2,1288,0,0,2,9453
인천광역시,미추홀구,111,295225,0,0,2,3000,0,0
인천광역시,부평구,198,999703,3,21206,20,40824,0,0
인천광역시,서구,330,1145683,5,52087,334,550851,0,0
인천광역시,연수구,90,191476,0,0,24,47043,0,0
인천광역시,옹진군,934,3686910,13,154884,656,1471899,4,32009
인천광역시,중구,1940,4169511,1,25550,633,4449054,51,278807
전라남도,강진군,3884,5540473,39,490373,6967,7344588,1,0
전라남도,고흥군,5502,5109844,86,1073715,10844,9549614,32,240470
전라남도,곡성군,13937,7987889,55,2532657,8738,14554757,13,145800
전라남도,광양시,4617,4433618,63,378666,3520,8830913,8,10350
전라남도,구례군,1112,1946178,4,48004,2337,3122286,36,972700
전라남도,나주시,8503,9855368,82,1368409,5705,13607351,13,90617
